id,code,name,district_id:id
neighborhood_Amón_Carmen_San_José_SJ,01,Amón,district_Carmen_San_José_SJ
neighborhood_Aranjuez_Carmen_San_José_SJ,02,Aranjuez,district_Carmen_San_José_SJ
neighborhood_California_(parte)_Carmen_San_José_SJ,03,California_(parte),district_Carmen_San_José_SJ
neighborhood_Carmen_Carmen_San_José_SJ,04,Carmen,district_Carmen_San_José_SJ
neighborhood_Empalme_Carmen_San_José_SJ,05,Empalme,district_Carmen_San_José_SJ
neighborhood_Escalante_Carmen_San_José_SJ,06,Escalante,district_Carmen_San_José_SJ
neighborhood_Otoya._Carmen_San_José_SJ,07,Otoya.,district_Carmen_San_José_SJ
neighborhood_Bajos_de_la_Unión_Merced_San_José_SJ,01,Bajos_de_la_Unión,district_Merced_San_José_SJ
neighborhood_Claret_Merced_San_José_SJ,02,Claret,district_Merced_San_José_SJ
neighborhood_Cocacola_Merced_San_José_SJ,03,Cocacola,district_Merced_San_José_SJ
neighborhood_Iglesias_Flores_Merced_San_José_SJ,04,Iglesias_Flores,district_Merced_San_José_SJ
neighborhood_Mantica_Merced_San_José_SJ,05,Mantica,district_Merced_San_José_SJ
neighborhood_México_Merced_San_José_SJ,06,México,district_Merced_San_José_SJ
neighborhood_Paso_de_la_Vaca_Merced_San_José_SJ,07,Paso_de_la_Vaca,district_Merced_San_José_SJ
neighborhood_Pitahaya._Merced_San_José_SJ,08,Pitahaya.,district_Merced_San_José_SJ
neighborhood_Almendares_Hospital_San_José_SJ,01,Almendares,district_Hospital_San_José_SJ
neighborhood_Ángeles_Hospital_San_José_SJ,02,Ángeles,district_Hospital_San_José_SJ
neighborhood_Bolívar_Hospital_San_José_SJ,03,Bolívar,district_Hospital_San_José_SJ
neighborhood_Carit_Hospital_San_José_SJ,04,Carit,district_Hospital_San_José_SJ
neighborhood_Colón_(parte)_Hospital_San_José_SJ,05,Colón_(parte),district_Hospital_San_José_SJ
neighborhood_Corazón_de_Jesús_Hospital_San_José_SJ,06,Corazón_de_Jesús,district_Hospital_San_José_SJ
neighborhood_Cristo_Rey_Hospital_San_José_SJ,07,Cristo_Rey,district_Hospital_San_José_SJ
